Year,Species,SAR,PH,FTD,Transport
1994,CH,0.67,8,577.1,True
1995,CH,0.41,8,577.1,True
1996,CH,0.37,8,577.1,True
1997,CH,1.08,8,577.1,True
1998,CH,1.34,8,577.1,True
1999,CH,2.53,8,577.1,True
2000,CH,1.22,8,577.1,True
2001,CH,1.33,8,577.1,True
2002,CH,0.61,8,577.1,True
2003,CH,0.31,8,577.1,True
2004,CH,0.55,8,577.1,True
2005,CH,0.22,8,577.1,True
2006,CH,0.72,8,577.1,True
2007,CH,1.23,8,577.1,True
2008,CH,3.39,8,577.1,True
2009,CH,1.8,8,577.1,True
2010,CH,0.9,8,577.1,True
2011,CH,0.35,8,577.1,True
2012,CH,0.88,8,577.1,True
2013,CH,1.73,8,577.1,True
2014,CH,0.98,8,577.1,True
2015,CH,1.02,8,577.1,True
2016,CH,0.53,8,577.1,True
2017,CH,0.31,8,577.1,True
2018,CH,0.37,8,577.1,True
2019,CH,0.49,8,577.1,True
1994,CH,0.52,9,614.1,True
1995,CH,0.28,9,614.1,True
1996,CH,1.18,9,614.1,True
1997,CH,6.67,9,614.1,True
1998,CH,0.84,9,614.1,True
1999,CH,2.82,9,614.1,True
2000,CH,2.46,9,614.1,True
2001,CH,1.39,9,614.1,True
2002,CH,1.08,9,614.1,True
2003,CH,0.51,9,614.1,True
2004,CH,0.46,9,614.1,True
2005,CH,0.31,9,614.1,True
2006,CH,0.72,9,614.1,True
2007,CH,1.44,9,614.1,True
2008,CH,2.62,9,614.1,True
2009,CH,1.34,9,614.1,True
2010,CH,0.88,9,614.1,True
2011,CH,0.43,9,614.1,True
2012,CH,0.95,9,614.1,True
2013,CH,1.44,9,614.1,True
2014,CH,0.4,9,614.1,True
2015,CH,0.91,9,614.1,True
2016,CH,0.62,9,614.1,True
2018,CH,0.31,9,614.1,True
2019,CH,0.51,9,614.1,True
1998,CH,1.27,10,642.7,True
1999,CH,2.09,10,642.7,True
2000,CH,1.07,10,642.7,True
2002,CH,0.6,10,642.7,True
2003,CH,0.17,10,642.7,True
2004,CH,0.72,10,642.7,True
2006,CH,1.24,10,642.7,True
2007,CH,0.89,10,642.7,True
2008,CH,2.47,10,642.7,True
2009,CH,1.48,10,642.7,True
2010,CH,0.91,10,642.7,True
2011,CH,0.48,10,642.7,True
2012,CH,0.89,10,642.7,True
2013,CH,1.16,10,642.7,True
2014,CH,0.48,10,642.7,True
2016,CH,1.01,10,642.7,True
2018,CH,0.61,10,642.7,True
2019,CH,0.7,10,642.7,True
1997,ST,1.87,8,577.1,True
1998,ST,0.34,8,577.1,True
1999,ST,2.69,8,577.1,True
2000,ST,3.5,8,577.1,True
2001,ST,3.09,8,577.1,True
2002,ST,3.91,8,577.1,True
2003,ST,1.73,8,577.1,True
2004,ST,0.91,8,577.1,True
2005,ST,0.97,8,577.1,True
2006,ST,1.23,8,577.1,True
2007,ST,4.25,8,577.1,True
2008,ST,3.88,8,577.1,True
2009,ST,3.06,8,577.1,True
2010,ST,2.38,8,577.1,True
2011,ST,1.61,8,577.1,True
2012,ST,1.46,8,577.1,True
2013,ST,2.79,8,577.1,True
2014,ST,2.23,8,577.1,True
2015,ST,0.15,8,577.1,True
2016,ST,0.59,8,577.1,True
2017,ST,1.14,8,577.1,True
2018,ST,1.62,8,577.1,True
1999,ST,4.44,9,614.1,True
2000,ST,3.37,9,614.1,True
2002,ST,1.61,9,614.1,True
2003,ST,2.75,9,614.1,True
2004,ST,0.87,9,614.1,True
2005,ST,0.62,9,614.1,True
2006,ST,1.56,9,614.1,True
2007,ST,4.85,9,614.1,True
2008,ST,5.09,9,614.1,True
2009,ST,4.93,9,614.1,True
2010,ST,2.64,9,614.1,True
2011,ST,1.56,9,614.1,True
2012,ST,3.7,9,614.1,True
2013,ST,2.98,9,614.1,True
2014,ST,1.62,9,614.1,True
2015,ST,0.15,9,614.1,True
2016,ST,1.24,9,614.1,True
2017,ST,1.38,9,614.1,True
2018,ST,1.85,9,614.1,True
1999,ST,2.99,10,642.7,True
2000,ST,2.73,10,642.7,True
2002,ST,2.22,10,642.7,True
2003,ST,2.2,10,642.7,True
2004,ST,0.63,10,642.7,True
2006,ST,1.16,10,642.7,True
2007,ST,4.66,10,642.7,True
2008,ST,2.44,10,642.7,True
2009,ST,1.25,10,642.7,True
2010,ST,1.67,10,642.7,True
2011,ST,0.96,10,642.7,True
2012,ST,2.46,10,642.7,True
2013,ST,3.67,10,642.7,True
2014,ST,1.13,10,642.7,True
2016,ST,1.71,10,642.7,True
2017,ST,1.55,10,642.7,True
2018,ST,1.83,10,642.7,True
